iter	RMSE
902	6500.664628
903	6496.112292
904	6486.338027
905	6478.609564
906	6471.619778
907	6471.200859
908	6461.200436
909	6449.738273
910	6440.227128
911	6435.301006
912	6432.282381
913	6426.175568
914	6423.453279
915	6419.007498
916	6412.278052
917	6409.717965
918	6402.834634
919	6394.676171
920	6382.265704
921	6369.867857
922	6361.521003
923	6355.74635
924	6340.908433
925	6331.554947
926	6322.405603
927	6310.985259
928	6304.889491
929	6296.193397
930	6285.027903
931	6277.036689
932	6273.090894
933	6267.957789
934	6267.498099
935	6262.015123
936	6245.863544
937	6239.125544
938	6229.145192
939	6224.30119
940	6214.543058
941	6210.823532
942	6207.318384
943	6192.80329
944	6181.232147
945	6176.201139
946	6163.232492
947	6156.15876
948	6146.531772
949	6141.963973
950	6136.069096
951	6129.692759
952	6114.023425
953	6111.280851
954	6108.851977
955	6103.228813
956	6099.520223
957	6094.47148
958	6080.843276
959	6074.702128
960	6065.650891
961	6058.885819
962	6056.895529
963	6047.700085
964	6038.521967
965	6036.321766
966	6030.070691
967	6021.662805
968	6015.651723
969	6013.376108
970	6004.785907
971	5995.406228
972	5986.683424
973	5977.96892
974	5969.61043
975	5963.13737
976	5962.619276
977	5958.399862
978	5952.510741
979	5946.902966
980	5941.978225
981	5937.991395
982	5935.947975
983	5918.709435
984	5912.930561
985	5908.973687
986	5900.492039
987	5894.535382
988	5886.973647
989	5882.076426
990	5876.783847
991	5867.150883
992	5865.068204
993	5858.050227
994	5852.601904
995	5842.473068
996	5835.739702
997	5831.480357
998	5823.313274
999	5813.973486
